date, value
1995-03-01,1484.931884765630
1995-04-01,1463.965576171880
1995-05-01,1448.408935546880
1995-06-01,1437.169555664060
1995-07-01,1360.762695312500
1995-08-01,1410.494628906250
1995-09-01,1395.075317382810
1995-10-01,1394.640136718750
1995-11-01,1435.903198242190
1995-12-01,1380.961914062500
1996-01-01,1349.112670898440
1996-02-01,1370.553344726560
1996-03-01,1338.600341796880
1996-04-01,1457.331176757810
1996-05-01,1524.441406250000
1996-06-01,1537.562133789060
1996-07-01,1490.377075195310
1996-08-01,1501.718872070310
1996-09-01,1475.952880859380
1996-10-01,1477.580078125000
1996-11-01,1465.535034179690
1996-12-01,1474.232421875000
1997-01-01,1428.790649414060
1997-02-01,1373.284057617190
1997-03-01,1521.875488281250
1997-04-01,1570.614868164060
1997-05-01,1568.298095703130
1997-06-01,1693.623779296880
1997-07-01,1677.431396484380
1997-08-01,1649.194580078130
1997-09-01,1765.584228515630
1997-10-01,1741.098754882810
1997-11-01,1696.373901367190
1997-12-01,1738.749267578130
1998-01-01,1670.671875000000
1998-02-01,1643.225952148440
1998-03-01,1721.063964843750
1998-04-01,1720.159423828130
1998-05-01,1781.408813476560
1998-06-01,1723.352050781250
1998-07-01,1712.243774414060
1998-08-01,1682.502319335940
1998-09-01,1685.862060546880
1998-10-01,1647.518676757810
1998-11-01,1599.911254882810
1998-12-01,1524.121337890630
1999-01-01,1455.787719726560
1999-02-01,1411.137425018790
1999-03-01,1313.894943127110
1999-04-01,1177.888059906020
1999-05-01,1059.236346215470
1999-06-01,1162.907404910260
1999-07-01,1113.239172419400
1999-08-01,1003.572745833270
1999-09-01,1060.561537126180
1999-10-01,1021.537216040180
1999-11-01,922.076617548214
1999-12-01,918.753685635882
2000-01-01,918.481742708907
2000-02-01,860.739968864887
2000-03-01,925.925803499116
2000-04-01,911.952356580254
2000-05-01,909.422413991637
2000-06-01,948.227857846720
2000-07-01,967.111550127046
2000-08-01,877.792726353178
2000-09-01,882.729175628467
2000-10-01,877.722944139700
2000-11-01,873.987159458498
2000-12-01,892.782646836661
2001-01-01,966.394992193041
2001-02-01,1157.466575411960
2001-03-01,1124.405513912170
2001-04-01,1083.662825941280
2001-05-01,1077.436126862050
2001-06-01,973.291054886820
2001-07-01,965.322726956721
2001-08-01,1032.483809069390
2001-09-01,1026.203293978170
2001-10-01,1084.862377579820
2001-11-01,1231.550778817150
2001-12-01,1337.429456361960
2002-01-01,1385.932977137960
2002-02-01,1490.387182511070
2002-03-01,1592.029232307800
2002-04-01,1568.146408485960
2002-05-01,1604.695837873640
2002-06-01,1656.456669518780
2002-07-01,1871.998523141520
2002-08-01,1959.272733118320
2002-09-01,2167.412259649850
2002-10-01,2201.495107690650
2002-11-01,1825.057437905730
2002-12-01,2025.611021823950
2003-01-01,2190.138111183640
2003-02-01,2230.352249546000
2003-03-01,1989.836126444480
2003-04-01,1932.135406876220
2003-05-01,1729.214759676270
2003-06-01,1579.108464776640
2003-07-01,1556.866104861480
2003-08-01,1565.547680217580
2003-09-01,1625.388516294660
2003-10-01,1481.681287824140
2003-11-01,1510.009350291470
2003-12-01,1646.580546899260
2004-01-01,1626.397853472960
2004-02-01,1566.086027858030
2004-03-01,1504.428407276500
2004-04-01,1435.668065736370
2004-05-01,1413.041782239070
2004-06-01,1404.713539514200
2004-07-01,1567.864379015540
2004-08-01,1727.333602658320
2004-09-01,1541.136667392430
2004-10-01,1483.802049691200
2004-11-01,1665.708546757310
2004-12-01,1672.748829333910
2005-01-01,1549.885522438340
2005-02-01,1719.461186776660
2005-03-01,1763.913759524240
2005-04-01,1585.950389068000
2005-05-01,1509.464670026200
2005-06-01,1538.629959117650
2005-07-01,1488.315932138420
2005-08-01,1482.230836273400
2005-09-01,1504.155998032300
2005-10-01,1453.830305262720
2005-11-01,1428.777210167780
2005-12-01,1511.320228111410
2006-01-01,1576.229800895270
2006-02-01,1546.368491822430
2006-03-01,1545.051276378640
2006-04-01,1552.340948449020
2006-05-01,1594.296279187580
2006-06-01,1605.780388747840
2006-07-01,1673.206544745690
2006-08-01,1612.942570393680
2006-09-01,1566.336072239240
2006-10-01,1530.171000038570
2006-11-01,1582.541812451020
2006-12-01,1702.156247937050
2007-01-01,1701.928110526280
2007-02-01,1811.152047880490
2007-03-01,1924.202510934620
2007-04-01,2034.254295149880
2007-05-01,2011.129609494810
2007-06-01,2013.042174509350
2007-07-01,2151.665851895950
2007-08-01,1902.091891932060
2007-09-01,1944.007428468920
2007-10-01,1916.669950969120
2007-11-01,1967.308750957240
2007-12-01,2119.878967365020
2008-01-01,2216.380889302360
2008-02-01,2522.828981485340
2008-03-01,2647.641654745370
2008-04-01,2631.225932835990
2008-05-01,2693.407461506770
2008-06-01,3021.756666979640
2008-07-01,2953.671563561800
2008-08-01,2796.797261278370
2008-09-01,2672.052451652110
2008-10-01,2251.228233102220
2008-11-01,2046.076009321510
2008-12-01,2420.039863059420
2009-01-01,2608.892228336110
2009-02-01,2660.466212000810
2009-03-01,2493.983418190830
2009-04-01,2541.701963007840
2009-05-01,2554.601344059900
2009-06-01,2699.611626911680
2009-07-01,2805.484592996980
2009-08-01,2956.663667269460
2009-09-01,3149.512072652030
2009-10-01,3372.503396632910
2009-11-01,3379.333892373930
2009-12-01,3517.543641728080
2010-01-01,3522.103953032320
2010-02-01,3276.558373813400
2010-03-01,3089.653557475850
2010-04-01,3221.227962022860
2010-05-01,3165.737288178440
2010-06-01,3230.824885795920
2010-07-01,3229.546365430230
2010-08-01,3071.710860163590
2010-09-01,2874.978791920640
2010-10-01,2927.450863511860
2010-11-01,2910.308626630740
2010-12-01,3047.056690680950
2011-01-01,3164.483796309460
2011-02-01,3471.097367342840
2011-03-01,3392.965837768680
2011-04-01,3113.504605661820
2011-05-01,3070.767550107340
2011-06-01,3015.635234520640
2011-07-01,3167.180195988800
2011-08-01,3064.310370366330
2011-09-01,2873.877809901780
2011-10-01,2680.041355574150
2011-11-01,2527.421547083360
2011-12-01,2200.603220764870
2012-01-01,2307.755657055590
2012-02-01,2356.238364000030
2012-03-01,2359.249275035010
2012-04-01,2266.784556958970
2012-05-01,2113.082729861180
2012-06-01,2265.841865649620
2012-07-01,2349.819282627180
2012-08-01,2512.260353432380
2012-09-01,2620.282893367620
2012-10-01,2463.536056960200
2012-11-01,2478.159419104070
2012-12-01,2431.822217907740
2013-01-01,2275.433560301400
2013-02-01,2197.700317615910
2013-03-01,2153.357409289250
2013-04-01,2294.719570635120
2013-05-01,2345.727424776920
2013-06-01,2283.582010224070
2013-07-01,2308.525905756750
2013-08-01,2483.604135022840
2013-09-01,2616.043205866350
2013-10-01,2730.695502646270
2013-11-01,2755.169010741160
2013-12-01,2824.539585105070
2014-01-01,2819.424452331940
2014-02-01,2992.763170804370
2014-03-01,3041.667164686420
2014-04-01,3050.608436712000
2014-05-01,3029.996105474560
2014-06-01,3174.302822776830
2014-07-01,3196.033245225320
2014-08-01,3270.261551409340
2014-09-01,3221.259769002170
2014-10-01,3100.823089425170
2014-11-01,2909.089734945760
2014-12-01,2946.941820417560
2015-01-01,2915.601801249930
2015-02-01,2961.935200565210
2015-03-01,2878.028926003990
2015-04-01,2868.272170164850
2015-05-01,3095.994279035480
2015-06-01,3239.886148072400
